scenario	language	family	rep	title	task_file
R1	go	huyang	1	bench x30 R1 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x30-R1-go-huyang-r1-20260913-115525.md
R1	go	huyang	2	bench x30 R1 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x30-R1-go-huyang-r2-20260913-115526.md
R1	go	huyang	3	bench x30 R1 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x30-R1-go-huyang-r3-20260913-115527.md
R1	go	builtin	1	bench x30 R1 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x30-R1-go-builtin-r1-20260913-115529.md
R1	go	builtin	2	bench x30 R1 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x30-R1-go-builtin-r2-20260913-115530.md
R1	go	builtin	3	bench x30 R1 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x30-R1-go-builtin-r3-20260913-115531.md
R1	go	bash	1	bench x30 R1 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x30-R1-go-bash-r1-20260913-115532.md
R1	go	bash	2	bench x30 R1 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x30-R1-go-bash-r2-20260913-115533.md
R1	go	bash	3	bench x30 R1 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x30-R1-go-bash-r3-20260913-115534.md
R2	go	huyang	1	bench x30 R2 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x30-R2-go-huyang-r1-20260913-115535.md
R2	go	huyang	2	bench x30 R2 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x30-R2-go-huyang-r2-20260913-115537.md
R2	go	huyang	3	bench x30 R2 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x30-R2-go-huyang-r3-20260913-115538.md
R2	go	builtin	1	bench x30 R2 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x30-R2-go-builtin-r1-20260913-115539.md
R2	go	builtin	2	bench x30 R2 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x30-R2-go-builtin-r2-20260913-115540.md
R2	go	builtin	3	bench x30 R2 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x30-R2-go-builtin-r3-20260913-115541.md
R2	go	bash	1	bench x30 R2 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-x30-R2-go-bash-r1-20260913-115543.md
